time	I(R20)+I(R21)
1.251047366367022e-04	1.893259e+00
1.251089429315356e-04	1.887455e+00
1.251173555212025e-04	1.875723e+00
1.251305795522519e-04	1.857053e+00
1.251451498451706e-04	1.836376e+00
1.251621729357338e-04	1.812195e+00
1.251819831398949e-04	1.784090e+00
1.252027695736400e-04	1.754660e+00
1.252426499467849e-04	1.698436e+00
1.253047493520914e-04	1.611735e+00
1.253758573281220e-04	1.514283e+00
1.254311316071283e-04	1.440559e+00
1.254780751867404e-04	1.380448e+00
1.255139087510869e-04	1.338442e+00
1.255297137675571e-04	1.321856e+00
1.255454252156760e-04	1.306724e+00
1.255673421673004e-04	1.287395e+00
1.255921953599040e-04	1.267452e+00
1.256218392100908e-04	1.245794e+00
1.256665246017353e-04	1.216607e+00
1.257231388829410e-04	1.184442e+00
1.258231388829410e-04	1.137485e+00
1.259231388829410e-04	1.100052e+00
1.260043474102884e-04	1.074787e+00
1.260839088448612e-04	1.053412e+00
1.261617559254607e-04	1.035087e+00
1.262102903183305e-04	1.024752e+00
1.262546940281714e-04	1.015923e+00
1.262970264614838e-04	1.008007e+00
1.263372245150729e-04	1.000899e+00
1.263777971722462e-04	9.940926e-01
1.264241662627055e-04	9.867247e-01
1.264933711488380e-04	9.764563e-01
1.265574527226516e-04	9.676392e-01
1.266083079579788e-04	9.610617e-01
1.266605530288470e-04	9.546466e-01
1.267127243272971e-04	9.485566e-01
1.267646170262981e-04	9.427800e-01
1.268100936288977e-04	9.379307e-01
1.268606697500692e-04	9.327470e-01
1.269064388836505e-04	9.282345e-01
1.269750486362193e-04	9.217511e-01
1.270355626261784e-04	9.162918e-01
1.270887367339944e-04	9.116721e-01
1.271420125210049e-04	9.071984e-01
1.272019502536224e-04	9.023294e-01
1.272995088110565e-04	8.947415e-01
1.273995088110565e-04	8.873400e-01
1.274884143367700e-04	8.810396e-01
1.275662692101044e-04	8.757069e-01
1.276522840944274e-04	8.699953e-01
1.277355443647859e-04	8.646216e-01
1.278355443647859e-04	8.583490e-01
1.279355443647859e-04	8.522446e-01
1.280355443647859e-04	8.462911e-01
1.281355443647859e-04	8.404640e-01
1.282355443647859e-04	8.347521e-01
1.283355443647860e-04	8.291362e-01
1.284355443647860e-04	8.236096e-01
1.285355443647860e-04	8.181568e-01
1.286355443647860e-04	8.127744e-01
1.287355443647860e-04	8.074495e-01
1.288355443647860e-04	8.021812e-01
1.289355443647860e-04	7.969584e-01
1.290355443647860e-04	7.917820e-01
1.291355443647860e-04	7.866425e-01
1.292355443647860e-04	7.815418e-01
1.293355443647860e-04	7.764715e-01
1.294355443647860e-04	7.714347e-01
1.295355443647860e-04	7.664236e-01
1.296355443647860e-04	7.614418e-01
1.297355443647860e-04	7.564822e-01
1.298355443647860e-04	7.515492e-01
1.299355443647860e-04	7.466357e-01
1.300355443647860e-04	7.417466e-01
1.301355443647860e-04	7.368752e-01
1.302355443647860e-04	7.320265e-01
1.303355443647860e-04	7.271942e-01
1.304355443647860e-04	7.223836e-01
1.305355443647860e-04	7.175883e-01
1.306355443647860e-04	7.128138e-01
1.307355443647860e-04	7.080539e-01
1.308355443647860e-04	7.033142e-01
1.309355443647860e-04	6.985886e-01
1.310355443647860e-04	6.938828e-01
1.311355443647860e-04	6.891907e-01
1.312355443647860e-04	6.845180e-01
1.313355443647860e-04	6.798587e-01
1.314355443647860e-04	6.752187e-01
1.315355443647860e-04	6.705920e-01
1.316355443647860e-04	6.659844e-01
1.317355443647860e-04	6.613899e-01
1.318355443647860e-04	6.568144e-01
1.319355443647860e-04	6.522520e-01
1.320355443647860e-04	6.477087e-01
1.321355443647860e-04	6.431784e-01
1.322355443647860e-04	6.386673e-01
1.323355443647860e-04	6.341692e-01
1.324355443647861e-04	6.296903e-01
1.325355443647861e-04	6.252247e-01
1.326355443647861e-04	6.207785e-01
1.327355443647861e-04	6.163458e-01
1.328355443647861e-04	6.119327e-01
1.329355443647861e-04	6.075335e-01
1.330355443647861e-04	6.031544e-01
1.331355443647861e-04	5.987896e-01
1.332355443647861e-04	5.944454e-01
1.333355443647861e-04	5.901161e-01
1.334355443647861e-04	5.858082e-01
1.335355443647861e-04	5.815161e-01
1.336355443647861e-04	5.772466e-01
1.337355443647861e-04	5.729942e-01
1.338355443647861e-04	5.687658e-01
1.339355443647861e-04	5.645565e-01
1.340355443647861e-04	5.603734e-01
1.341355443647861e-04	5.562119e-01
1.342355443647861e-04	5.520796e-01
1.343355443647861e-04	5.479727e-01
1.344355443647861e-04	5.438993e-01
1.345355443647861e-04	5.398562e-01
1.346355443647861e-04	5.358526e-01
1.347355443647861e-04	5.318862e-01
1.348355443647861e-04	5.279672e-01
1.349355443647861e-04	5.240947e-01
1.350355443647861e-04	5.202802e-01
1.351355443647861e-04	5.165242e-01
1.352355443647861e-04	5.128398e-01
1.353355443647861e-04	5.092292e-01
